protein_id,gene,log2FC_Cer,p_Cer,log2FC_BS,p_BS,sig_in_either,concordant,class
Q8K4Q0,Rptor,-1.2326826765691299,NA,-1.8996561084494075,NA,NA,NA,n.s.
Q8R0A7,Kiaa0513,0.2539802345573875,NA,0.009349367264589641,NA,NA,NA,n.s.
Q8VCI5,Pex19,-0.6808597052640679,NA,-0.8007967675064526,NA,NA,NA,n.s.
Q8VE19,Mios,0.5441721525567619,NA,0.23138079897300695,NA,NA,NA,n.s.
Q920I9,Wdr7,-1.8144678923781499,NA,-0.06389019871072375,NA,NA,NA,n.s.
Q99J21,Mcoln1,-0.7012117292919555,NA,-0.32393674751079093,NA,NA,NA,n.s.
Q99J45,Nrbp1,0.22548135519265394,NA,0.3819706097591004,NA,NA,NA,n.s.
Q99MP8,Brap,0.3702105134335898,NA,0.8112507964196151,NA,NA,NA,n.s.
Q99PL6,Ubxn6,0.3284710654324429,NA,0.13152724247014533,NA,NA,NA,n.s.
Q9CQS8,Sec61b,0.10668181328371872,NA,0.1715158140977613,NA,NA,NA,n.s.
Q9D0V7,Ebag9,-2.000911838663979,NA,-1.7094327651133345,NA,NA,NA,n.s.
Q9D394,Rufy3,2.0207032982460045,NA,0.044227328979606295,NA,NA,NA,n.s.
Q9DBR7,Ppp1r12a,-1.0029745723782757,NA,-1.0671660604182045,NA,NA,NA,n.s.
Q9ERZ4,Chrm2,-0.39064378144491874,NA,-0.6465709872426535,NA,NA,NA,n.s.
Q9JI99,Sgpp1,0.18517741194540951,NA,1.3707779971099647,NA,NA,NA,n.s.
Q9JMA1,Usp14,-1.3327752799256538,NA,-1.4355861977872004,NA,NA,NA,n.s.
Q9QYI5,Dnajb2,-0.4611856334398908,NA,-0.01257847167016386,NA,NA,NA,n.s.
Q9R0L6,Pcm1,0.091827578415652,NA,0.204378547143488,NA,NA,NA,n.s.
Q9WV69,Dmtn,-1.3912902134319851,NA,-1.308027757795695,NA,NA,NA,n.s.
Q9Z107,Pakap,-1.02799794335953,NA,-0.2860171520792023,NA,NA,NA,n.s.
