protein_id,gene,log2FC_Cer,adj_p_Cer,log2FC_BS,adj_p_BS,mean_log2FC,direction
P42932,Cct8,-3.15380340340447,1.460259344280091e-5,-2.815168093927046,0.7270869893484244,-2.984485748665758,Up in Female
Q8BVE3,Atp6v1h,-2.830300311571533,0.046834905970083614,-1.400995247961573,0.9998479593710528,-2.1156477797665527,Up in Female
Q6NXX6,Atp6v0a1,3.670428320076989,2.53557269013451e-5,0.9830865896252972,0.9998479593710528,2.326757454851143,Up in Male
P58252,Eef2,0.3005386821395802,0.9998429551679517,2.6003829996630103,0.0017660914365202705,1.4504608409012953,Up in Male
P20152,Vim,2.4769090020950597,0.05639506049518687,0.1360819198459868,0.9998479593710528,1.3064954609705233,Up in Male
Q5SV64,Myh10,1.7161789276715367,1.460259344280091e-5,0.0014480380551236901,0.9998479593710528,0.8588134828633301,Up in Male
