label,Description,p.adjust,gene_ratio_n,Count,GeneRatio
Up in Male,regulation of microtubule cytoskeleton organization,0.02375605753603388,0.10144927536231885,7,NA
Up in Male,regulation of microtubule-based process,0.02375605753603388,0.11594202898550725,8,NA
Up in Male,regulation of mitotic spindle organization,0.02375605753603388,0.057971014492753624,4,NA
Up in Male,regulation of spindle organization,0.02375605753603388,0.057971014492753624,4,NA
